Patent,Year,Class
6317433,1998,370/370/370
6004150,1997,439/439/439
5852655,1997,379/379
5898761,1997,379/379/379
6014431,1997,379/379/379
6114897,1998,327/327/327
6239672,1998,333/333/333/333/379
6282273,1998,379/379/379
6434700,1998,713/713/713/713/713
5770950,1995,326/333/333/375/375/375
5751710,1996,370/370/370/710
6118791,1996,370/370/370/370/709
6188698,1998,370/370/370/370/370
6226266,1997,370/370
6400681,1997,370/370/370/370/370/370/709/709
6424624,1998,370/370/370/709
6175570,1996,370/370/370/370/370
6181711,1997,370/370/375/375/375
6335990,1997,382/348/348/348/348/348/348/375/382/382
5952741,1998,307/307/307/307/307
5854901,1996,709/709/709/709/709
6151390,1998,379/370/370/379/379
6570869,1998,370/370
5799017,1996,370/348/348/348/348/370/370/370/370
5864542,1996,370/348/348/348/348/370/370
5905726,1996,370/348/348/348/370/370/725
6345051,1998,370/370/370/370/370/370/370
5793987,1996,710/713
6163824,1998,710
6181708,1997,370/370
5691997,1995,714/370
5742649,1995,375/370/370/375/375
6091725,1995,370/370/370
6343072,1997,370/370/370/709
6377577,1998,370/370/370
6385208,1998,370/370/370
6389506,1998,711/365
6108655,1997,1/707/715/712/712/709/719/707
6205465,1998,718/709/718
6226788,1998,717/709/717
6301613,1998,709
6327618,1998,709/370/707/709/709
6505228,1998,718/709
6769124,1998,719/711/711/707/707/711/707
5805595,1996,370/370/370
6052379,1998,370/370/370
6141377,1998,375/375/379/379/379/455
6292491,1998,370/370/370
6546024,1998,370/370/375
6678282,1998,370/370
6167027,1997,370/370/370/370
5740171,1996,370/370
5796732,1996,370/370
6147993,1997,370/370
6151325,1997,370/370
6286039,1998,709/709/709/709/709/709/710
5666353,1995,370
5970067,1996,370/370/370/370
5999524,1996,370/370/370
6028858,1996,370/370/370/370/370
6272351,1997,455/348/455/455
6501768,1998,370/370/370/455/455/455
5898688,1996,370/370/370
6078504,1997,361/174/361/361/361/361/361/361/361/361/361/361/361
5737635,1996,710/709/709/709/710
5953345,1998,370/370/370
6047308,1997,709
6222822,1997,370/370/370
6101399,1995,455/342/375/455/455
6044081,1997,370/370
6304576,1998,370/370
6807185,1997,370/370
7701924,1998,370/370/370
6061348,1995,370/370/370
6115374,1995,370/370
6430191,1997,370/370
6853638,1998,370/370/370/711/713/713
6308219,1998,709/370
6438102,1998,370/370
6463485,1998,710/370/710
6483850,1998,370/370
6512769,1998,370/370
6967961,1998,370/370/370
6091732,1997,370/370
6438133,1998,370/370/370/709/709
6081419,1998,361/174/361/361/361/439/439/439/439
5959968,1997,370/370/370
6188694,1997,370
6643260,1998,370/370
6128761,1997,714
6219416,1997,379/379/379
6256323,1998,370/370
6341132,1998,370/370
6415061,1998,382/382
6704866,1998,713/380/380/713/713/713/726
5930294,1997,375/327/370/375
6073233,1997,713/708/712/712/712
6088754,1997,710/710
6128313,1997,370/370
6175603,1997,375/327/327/327/375
6466592,1998,370/375/375
6580723,1998,370/370
6535505,1998,370/370/370
6584108,1998,370/370/370/370/455
6611531,1998,370/370/370/370/370
6763017,1998,370/370
7009962,1998,370/379/379
7339924,1998,370/370/379/379/379/379
6647028,1998,370/370/370/370
6252855,1997,370/370
6446122,1998,709
6700890,1997,370/370/370/370/709/709/713/713
6810040,1997,370/370/709
6829242,1998,370/370/370/370/709/709
6259677,1998,370/370/370/370
6205487,1998,709
6212569,1998,709
6473424,1998,370/370/370/370/718/718/718
7031333,1998,370/370/370/370/370/370
5987034,1996,370/370
6144658,1997,370/370/375
6148347,1996,710/710/710
5834925,1997,323/307
6212182,1996,370/370/370/709
6144637,1997,370/370
6370119,1998,370
6081006,1998,257/257/257/257/257/257/257/257
5918019,1996,709/709
6073176,1997,709/709/709/709/709/709
6298055,1998,370/370
6381221,1998,370/370/370/370/379/379
6256309,1998,370
6023733,1997,709
6065062,1997,709/709/709
6131117,1997,709/709/709/709
6246669,1998,370/370/370
6072773,1997,370/370/370
5973628,1997,341/370
6339595,1997,370/370/370
6526056,1998,370/370/370
6101115,1998,365/365/365
6434612,1997,709
5835036,1997,341/341/370
5991302,1997,370/370/370/370
6134690,1998,714/714/714
6304575,1998,370
6356548,1998,370/370/370
5898687,1996,370/370/370/370
6330645,1998,711/711
5905781,1997,379/379/379/379
6473798,1998,709/709
6349092,1998,370/370
6236658,1997,370
6067573,1997,709/709
6330221,1998,370/370/370/370
6075769,1997,370/370/709
6587436,1997,370/370/370
5729546,1995,370/370/370/370
5787070,1995,370/370/714
5991300,1998,370/370
6295296,1998,370/370/370/370/370/370/370/370/370
6430155,1998,370
5898691,1996,370/370/370/370
6470013,1998,370/370
6011851,1997,381/379/381
6061431,1998,379/379/379
6188760,1998,379/379
6240084,1996,370/370/370/370
6275574,1998,379/370/370/379
6333931,1998,370/370/370
6418125,1998,370/370
6603774,1998,370/370/370/370/379/704
6775265,1998,370/370
6904037,1996,370/370
6407985,1998,370
6628624,1998,370/370/370
5959989,1997,370/370/370
5991817,1996,709/370/370/709/709/709
6182224,1996,726/709/709/709
6111877,1997,370/370/370/370
6157641,1997,370/370
6212183,1997,370/370
6314110,1998,370/370/370
6512766,1997,370/370/711
6269452,1998,714/370/709/714
6119231,1997,726
6295557,1998,709/709/709/714
6366558,1998,370/370/370/370/714
6055364,1997,709/709/709/709/709/709
6078590,1997,370/370
6182147,1998,709/370/709/709
6515967,1998,370/370/714
6286084,1998,711/709/709/709/711/711/709/707
6765928,1998,370/370/370
6223053,1996,455/375
5835494,1997,370/370/370
5838915,1997,709/370/709
6034945,1996,370/370/370
6201813,1997,370/370
6487202,1997,370/370
5852607,1997,370/370
5872783,1996,370/370/370
6128296,1997,370/370
7020712,1998,709
6845102,1997,370/370
6408347,1998,710/370/707/710/710/713/713
6115386,1997,n/a
6370121,1998,370/370
6111893,1997,370/370
5926475,1996,370
5632021,1995,710
6101599,1998,712/712/718
6119215,1998,712/711
6182267,1998,714/714/714/714
6195739,1998,712/710
6226771,1998,714/714
6513108,1998,712/712
6006110,1996,455/342/375/455/455
6144711,1997,375/375/375
6158041,1998,714/714/714/714/714
6192026,1998,370/370
6463096,1998,375/370/375
6088430,1997,379/379/379/379
6160843,1997,375/370/370
6163599,1997,379/379/379
6278728,1998,375/375
6366644,1997,379/379/379/379/379
6385203,1998,370/370/370/375
5678006,1996,709/709/709
5765032,1996,709/370/370/370/370/709/709/709/709
5838994,1996,710/709/709/709/709/711/370/710/710/710/711/711/707
6636484,1998,370
6704308,1998,370/370
7233600,1998,370/370
6138019,1996,455/455
6266705,1998,709/711
5732079,1995,370/370
6591374,1995,714/710/713/714/714
6026464,1997,711/710/710/710/711/711
6073199,1997,710/710/710/710/710/710/710/710/710/710/710/711
5742604,1996,370/370
5764636,1996,370/370/370
5812618,1995,375/370/375
5822383,1995,375/370/375
5896427,1998,375/370/375
6141348,1997,370/370/709/711
6532215,1998,370/702
5859550,1997,327/327/327/327
5764641,1995,370/370
6463068,1997,370/370
5999565,1997,375/370/379
6252878,1997,370/370
6311275,1998,726/709/726
6396833,1998,370/370
6205182,1998,375
5787255,1996,709/370/370/370/370/709/709/709/709/709/709/709/709
5793763,1995,370/370/370/714/726
6240461,1997,709/709/709/709/709/718
6510154,1998,370/370/370/370/709/709/709/714/726
5989060,1997,439/439/714
6006268,1997,709/709/709/709/709
6061349,1997,370/370/370/714
6104717,1997,370/370/370/370/709/714
6108300,1997,370/340/370/714/714
6473406,1997,370/370/370/370/709/709/709/726/726/726
6285960,1998,702/370/375/375/702/702
6588016,1998,725/348/370/714/714/725
6775840,1997,725/348/348/455/725
5802042,1996,370/370
6304546,1996,370/370/370/370/714
6434120,1998,370/370
6219706,1998,709/709/726
6157957,1998,709
6058114,1996,370/370/370/709/709/709
6185222,1995,370/370/370
6430153,1998,370/370/370/370
6477174,1998,370
6526060,1997,370/370
6870847,1997,370/370/370
5835725,1996,709/709
6611624,1998,382/370/375/375/375/375/375/375
6128512,1997,455/375/379/455/455/455
6295551,1997,709/709/709
